group_id,question_ids,model
MMLU_ARRANGED_GROUP_011,"MMLU_international_law_WhichOneOf_0082,MMLU_international_law_WhatIsThe_0009,MMLU_high_school_geography_EarlySettlementsAnd_0010,MMLU_abstract_algebra_Statement1|_0056",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_012,"MMLU_international_law_WhoHasThe_0068,MMLU_business_ethics_HealthyEating,Particularly_0088,MMLU_moral_scenarios_ForWhichOf_0069,MMLU_college_physics_AMagneticField_0030",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_013,"MMLU_formal_logic_UseIndirectTruth_0030,MMLU_international_law_MagnaCartaWas_0017,MMLU_international_law_WasTheUse_0080,MMLU_global_facts_BeforeNixonResigned_0100",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_014,"MMLU_high_school_mathematics_If$f(x)=_0050,MMLU_business_ethics_InsiderTradingUndermines_0072,MMLU_high_school_mathematics_ASequenceOf_0075,MMLU_high_school_geography_NewStoresOpening_0061",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_015,"MMLU_formal_logic_SelectTheBest_0075,MMLU_moral_scenarios_ForWhichOf_0035,MMLU_college_physics_UnderCertainConditions,_0043,MMLU_formal_logic_IdentifyTheConclusion_0062",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_016,"MMLU_abstract_algebra_Statement1|_0060,MMLU_business_ethics_PickTheCorrect_0035,MMLU_miscellaneous_WhichOfThe_0085,MMLU_global_facts_AsOf2019,_0028",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_017,"MMLU_abstract_algebra_UsingFermat'sTheorem,_0073,MMLU_business_ethics_EthicalIssuesRelated_0031,MMLU_moral_scenarios_ForWhichOf_0092,MMLU_high_school_mathematics_ThePositiveSquare_0073",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_018,"MMLU_international_law_WhatIsThe_0083,MMLU_moral_scenarios_ForWhichOf_0007,MMLU_business_ethics_____________RefersTo_0037,MMLU_international_law_WhatDoesThe_0098",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_019,"MMLU_global_facts_ConsiderTheFollowing_0085,MMLU_high_school_geography_YouArePlanning_0079,MMLU_abstract_algebra_FindAllZeros_0097,MMLU_college_physics_AUniformSolid_0044",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_020,"MMLU_global_facts_AsOf2019,_0017,MMLU_college_physics_TheNegativeMuon,_0038,MMLU_global_facts_AboutWhatPercentage_0015,MMLU_high_school_mathematics_JohnDividedHis_0006",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_021,"MMLU_global_facts_AsOf2019,_0012,MMLU_moral_scenarios_ForWhichOf_0004,MMLU_moral_scenarios_ForWhichOf_0054,MMLU_high_school_mathematics_WhatIsThe_0013",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_022,"MMLU_business_ethics_DemandReduction._0041,MMLU_formal_logic_ConstructAComplete_0082,MMLU_global_facts_AsOf2015,_0080,MMLU_moral_scenarios_ForWhichOf_0089",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_023,"MMLU_moral_scenarios_ForWhichOf_0056,MMLU_business_ethics_________AreA_0099,MMLU_global_facts_In2016,What_0032,MMLU_business_ethics________WorkingPractices_0010",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_024,"MMLU_high_school_geography_PartOfThe_0098,MMLU_miscellaneous_WhoLedThe_0035,MMLU_international_law_DoTreatiesBind_0037,MMLU_high_school_mathematics_WeRollA_0009",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_025,"MMLU_college_physics_AnAstronomerObserves_0027,MMLU_moral_scenarios_ForWhichOf_0051,MMLU_high_school_mathematics_WhatIsThe_0032,MMLU_international_law_DoThirdStates_0060",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_026,"MMLU_global_facts_WhatWasGdp_0019,MMLU_miscellaneous_WhatDoYou_0023,MMLU_moral_scenarios_ForWhichOf_0030,MMLU_business_ethics_ThereAreTwo_0073",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_027,"MMLU_miscellaneous_WhatWereThe_0005,MMLU_global_facts_AsOf2017,_0018,MMLU_global_facts_WhichOfThe_0088,MMLU_college_physics_DeBroglieHypothesized_0009",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_028,"MMLU_global_facts_AsOf2018,_0011,MMLU_abstract_algebra_FindAllC_0052,MMLU_moral_scenarios_ForWhichOf_0073,MMLU_moral_scenarios_ForWhichOf_0050",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_029,"MMLU_abstract_algebra_FindTheGenerator_0039,MMLU_college_physics_TheQuantumEfficiency_0001,MMLU_formal_logic_WhichOfThe_0028,MMLU_moral_scenarios_ForWhichOf_0070",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_030,"MMLU_high_school_geography_AnEarlierBoundary_0048,MMLU_global_facts_AsOf2019,_0040,MMLU_miscellaneous_WhatAnimalRepresents_0018,MMLU_high_school_geography_WhichFormOf_0008",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_031,"MMLU_abstract_algebra_DetermineWhetherThe_0028,MMLU_high_school_mathematics_InParallelogram$abcd$,_0027,MMLU_college_physics_TheDriverOf_0084,MMLU_business_ethics_TheEnforcementOf_0047",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_032,"MMLU_high_school_geography_WhichOfThe_0089,MMLU_international_law_HowAreThe_0052,MMLU_moral_scenarios_ForWhichOf_0020,MMLU_college_physics_IfTheAbsolute_0058",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_033,"MMLU_abstract_algebra_Statement1|_0023,MMLU_abstract_algebra_FindTheCharacteristic_0042,MMLU_international_law_WhichOneOf_0007,MMLU_business_ethics_HowTheCode_0095",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_034,"MMLU_high_school_geography_TheTendencyFor_0003,MMLU_moral_scenarios_ForWhichOf_0065,MMLU_formal_logic_UseIndirectTruth_0049,MMLU_formal_logic_UseTheFollowing_0063",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_035,"MMLU_miscellaneous_WhichOfThese_0053,MMLU_miscellaneous_WhatKindOf_0054,MMLU_college_physics_TheSpeedOf_0092,MMLU_international_law_IsTheIcj_0058",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_036,"MMLU_business_ethics_WhichOfThe_0017,MMLU_high_school_geography_OneOfThe_0036,MMLU_miscellaneous_WhichOfThe_0100,MMLU_high_school_mathematics_WhatIsThe_0047",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_037,"MMLU_miscellaneous_PresidentAbrahamLincoln's_0095,MMLU_abstract_algebra_FindTheNumber_0098,MMLU_miscellaneous_WhatIsThe_0026,MMLU_moral_scenarios_ForWhichOf_0062",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_038,"MMLU_business_ethics_FactorsThatImpact_0061,MMLU_high_school_geography_InWhichUrban_0019,MMLU_moral_scenarios_ForWhichOf_0012,MMLU_high_school_mathematics_HowManyPalindromes_0082",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_039,"MMLU_moral_scenarios_ForWhichOf_0095,MMLU_moral_scenarios_ForWhichOf_0053,MMLU_college_physics_WhiteLightIs_0098,MMLU_college_physics_APhotonStrikes_0086",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_040,"MMLU_college_physics_SoundWavesMoving_0089,MMLU_abstract_algebra_Statement1|_0033,MMLU_high_school_geography_WhichOfThe_0040,MMLU_global_facts_ThePercentageOf_0071",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_041,"MMLU_college_physics_ElectromagneticRadiationEmitted_0062,MMLU_miscellaneous_HowManyMoles_0034,MMLU_formal_logic_UseIndirectTruth_0072,MMLU_abstract_algebra_FindTheOrder_0013",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_042,"MMLU_business_ethics________And________0055,MMLU_business_ethics_ThereAreA_0034,MMLU_international_law_WhatWasThe_0042,MMLU_moral_scenarios_ForWhichOf_0049",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_043,"MMLU_business_ethics_______RegulationGoes_0009,MMLU_miscellaneous_WhatDoYou_0038,MMLU_high_school_geography_WhichCropBegan_0081,MMLU_formal_logic_ConstructAComplete_0004",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_044,"MMLU_college_physics_AHeatPump_0046,MMLU_international_law_WhatIsThe_0061,MMLU_high_school_mathematics_TheLongestSide_0058,MMLU_business_ethics_TheRelationshipBetween_0097",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_045,"MMLU_abstract_algebra_FindTheMaximum_0094,MMLU_moral_scenarios_ForWhichOf_0038,MMLU_miscellaneous_AnAirplane'sBlack_0083,MMLU_business_ethics_WhenNegotiatingUsing_0044",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_046,"MMLU_college_physics_IfTheTotal_0010,MMLU_abstract_algebra_Statement1|_0086,MMLU_miscellaneous_ASecond-yearCollege_0009,MMLU_high_school_mathematics_SupposeTheGraph_0036",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_047,"MMLU_high_school_geography_WhichOfThe_0016,MMLU_high_school_geography_WhichOfThe_0034,MMLU_global_facts_WhatWasGdp_0002,MMLU_moral_scenarios_ForWhichOf_0059",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_048,"MMLU_abstract_algebra_Statement1|_0062,MMLU_abstract_algebra_FindTheDegree_0001,MMLU_international_law_WhatIsThe_0045,MMLU_abstract_algebra_Statement1|_0011",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_049,"MMLU_moral_scenarios_ForWhichOf_0074,MMLU_miscellaneous_InWhichOf_0062,MMLU_high_school_mathematics_HowManyNumbers_0081,MMLU_abstract_algebra_ComputeTheProduct_0037",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_050,"MMLU_college_physics_WhichOfThe_0026,MMLU_international_law_WhatIsThe_0081,MMLU_high_school_geography_WhichGroupRepresents_0071,MMLU_high_school_geography_WhichOfThe_0074",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_051,"MMLU_global_facts_AsOf2013,_0022,MMLU_global_facts_AsOf2019,_0044,MMLU_miscellaneous_TheAccumulationOf_0071,MMLU_college_physics_TheBestType_0052",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_052,"MMLU_moral_scenarios_ForWhichOf_0072,MMLU_miscellaneous_ThePurposeOf_0069,MMLU_formal_logic_SelectTheBest_0029,MMLU_high_school_mathematics_Find$-\dfrac{1}{-3}\cdot\cfrac{1}{~\frac{1}{-3}~}.$_0093",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_053,"MMLU_abstract_algebra_TheSetOf_0024,MMLU_high_school_geography_WhichTypeOf_0030,MMLU_international_law_HowCanCustomary_0043,MMLU_high_school_mathematics_IfXAnd_0062",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_054,"MMLU_global_facts_WhatIsThe_0049,MMLU_college_physics_ASpringOf_0079,MMLU_business_ethics_TheyAreToo_0091,MMLU_international_law_IsTheUnlawful_0031",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_055,"MMLU_business_ethics_TheIso26000_0068,MMLU_high_school_geography_TheTheoryThat_0057,MMLU_miscellaneous_AHard-edgePainting_0011,MMLU_college_physics_TwoSimplePendulums_0065",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_056,"MMLU_moral_scenarios_ForWhichOf_0027,MMLU_formal_logic_SelectTheBest_0067,MMLU_high_school_mathematics_IfAClock_0087,MMLU_moral_scenarios_ForWhichOf_0077",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_057,"MMLU_miscellaneous_WhichMoviePopularized_0016,MMLU_abstract_algebra_LetAAnd_0045,MMLU_high_school_mathematics_IfThereIs_0098,MMLU_high_school_mathematics_AnAntCrawls_0016",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_058,"MMLU_moral_scenarios_ForWhichOf_0022,MMLU_moral_scenarios_ForWhichOf_0083,MMLU_formal_logic_UseTheFollowing_0085,MMLU_high_school_geography_IfIWanted_0083",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_059,"MMLU_formal_logic_SelectTheBest_0003,MMLU_business_ethics_The________Perspective_0087,MMLU_college_physics_WhichOfThe_0003,MMLU_high_school_mathematics_AnEquilateralTriangle_0088",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_060,"MMLU_high_school_mathematics_HowManyWays_0034,MMLU_formal_logic_IdentifyTheAntecedent_0094,MMLU_moral_scenarios_ForWhichOf_0016,MMLU_college_physics_TheRestMass_0050",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_061,"MMLU_formal_logic_SelectTheBest_0080,MMLU_high_school_geography_WhichUrbanModel_0024,MMLU_global_facts_AsOf2019,_0057,MMLU_miscellaneous_WhatKindOf_0027",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_062,"MMLU_global_facts_AsOf2019,_0026,MMLU_high_school_geography_WhichFactorIn_0082,MMLU_global_facts_HowManyChildren_0061,MMLU_formal_logic_ConstructAComplete_0068",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_063,"MMLU_global_facts_WorldBankData_0060,MMLU_moral_scenarios_ForWhichOf_0090,MMLU_college_physics_ANetForce_0054,MMLU_abstract_algebra_LetP=_0002",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_064,"MMLU_global_facts_RossPerotMakes_0035,MMLU_moral_scenarios_ForWhichOf_0011,MMLU_miscellaneous_WhichOfThe_0063,MMLU_abstract_algebra_InTheGroup_0053",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_065,"MMLU_college_physics_ExcitedStatesOf_0017,MMLU_international_law_WhichAreThe_0023,MMLU_abstract_algebra_Statement1|_0016,MMLU_formal_logic_WhichOfThe_0073",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_066,"MMLU_miscellaneous_WhoWrote'a_0066,MMLU_college_physics_LightOfVariable_0031,MMLU_miscellaneous_WhichOfThe_0024,MMLU_high_school_mathematics_FindTheRemainder_0083",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_067,"MMLU_high_school_geography_ALargeNode_0080,MMLU_international_law_TheEnforcementMechanism_0055,MMLU_high_school_geography_WhichTypeOf_0018,MMLU_high_school_mathematics_FebruaryOf2011_0079",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_068,"MMLU_business_ethics_InABusiness_0098,MMLU_global_facts_WhichOfThe_0068,MMLU_abstract_algebra_Statement1|Every_0020,MMLU_college_physics_AProtonMoves_0029",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_069,"MMLU_high_school_mathematics_Find$b$If_0057,MMLU_business_ethics_TheRiseIn_0086,MMLU_abstract_algebra_Statement1|_0070,MMLU_international_law_AreThereAny_0048",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_070,"MMLU_international_law_IsThereAny_0013,MMLU_miscellaneous_PeopleAreSupposed_0081,MMLU_abstract_algebra_Statement1|_0054,MMLU_abstract_algebra_Statement1|_0006",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_071,"MMLU_formal_logic_SelectTheBest_0047,MMLU_international_law_WhatIsThe_0086,MMLU_global_facts_In1987During_0058,MMLU_formal_logic_WhichOfThe_0060",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_072,"MMLU_high_school_mathematics_Suppose$f(x)$Is_0005,MMLU_moral_scenarios_ForWhichOf_0066,MMLU_miscellaneous_WhatIsThe_0060,MMLU_business_ethics________TheoryCan_0023",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_073,"MMLU_formal_logic_IdentifyTheConclusion_0099,MMLU_college_physics_LightOfVariable_0078,MMLU_moral_scenarios_ForWhichOf_0006,MMLU_international_law_HowTreatiesAre_0034",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_074,"MMLU_high_school_geography_WhatIsThe_0026,MMLU_global_facts_WhichOfThe_0045,MMLU_miscellaneous_WhoWasPresident_0012,MMLU_abstract_algebra_Statement1|_0059",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_075,"MMLU_college_physics_ThePrimarySource_0014,MMLU_high_school_geography_TheMultiplierEffect_0072,MMLU_business_ethics_ManagersAreEntrusted_0065,MMLU_formal_logic_ConstructAComplete_0024",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_076,"MMLU_moral_scenarios_ForWhichOf_0008,MMLU_college_physics_TwoSpaceshipsApproach_0074,MMLU_moral_scenarios_ForWhichOf_0084,MMLU_high_school_mathematics_TheCoefficientOf_0096",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_077,"MMLU_moral_scenarios_ForWhichOf_0097,MMLU_global_facts_InSub-saharanAfrica,_0059,MMLU_high_school_geography_OnWhichOf_0043,MMLU_global_facts_AsOf2019,_0094",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_078,"MMLU_global_facts_ConsiderTheFollowing_0065,MMLU_abstract_algebra_If(g,.)_0032,MMLU_abstract_algebra_FindTheCharacteristic_0078,MMLU_miscellaneous_WhatIsThe_0048",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_079,"MMLU_abstract_algebra_FindTheProduct_0005,MMLU_formal_logic_SelectTheBest_0053,MMLU_high_school_mathematics_WhatIsThe_0022,MMLU_business_ethics_TheComplexityOf_0056",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_080,"MMLU_moral_scenarios_ForWhichOf_0010,MMLU_abstract_algebra_FindAllZeros_0010,MMLU_miscellaneous_TheNineteenth-centuryPhotographic_0055,MMLU_moral_scenarios_ForWhichOf_0052",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_081,"MMLU_global_facts_WhichOfThe_0098,MMLU_abstract_algebra_Statement1|_0090,MMLU_high_school_mathematics_WhatIsThe_0031,MMLU_international_law_WhatIsThe_0015",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_082,"MMLU_high_school_mathematics_Let$c$Be_0035,MMLU_international_law_WhatIsFunctional_0065,MMLU_college_physics_AMagneticField_0059,MMLU_abstract_algebra_FindTheGenerator_0058",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_083,"MMLU_high_school_geography_WhichZoneContains_0004,MMLU_high_school_mathematics_TheMeanOf_0066,MMLU_global_facts_AsOf2019,_0076,MMLU_international_law_WhatIs'unilateral_0095",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_084,"MMLU_miscellaneous_WhichValueIs_0049,MMLU_moral_scenarios_ForWhichOf_0037,MMLU_high_school_mathematics_WhatIsThe_0020,MMLU_high_school_geography_WhichOneOf_0088",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_085,"MMLU_abstract_algebra_Statement1|_0061,MMLU_moral_scenarios_ForWhichOf_0039,MMLU_abstract_algebra_TheInverseOf_0017,MMLU_global_facts_Worldwide,30Year_0053",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_086,"MMLU_business_ethics_WhichOfThe_0078,MMLU_formal_logic_WhichOfThe_0086,MMLU_college_physics_TheEmissionSpectrum_0090,MMLU_high_school_geography_WhichOfThe_0077",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_087,"MMLU_international_law_WhatIsThe_0012,MMLU_college_physics_AnAirplaneDrops_0100,MMLU_international_law_IsRecognitionOf_0087,MMLU_high_school_geography_WhichOneOf_0054",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_088,"MMLU_global_facts_AsOf2019,_0036,MMLU_high_school_geography_TheTendencyFor_0002,MMLU_miscellaneous_WhichOfThe_0064,MMLU_international_law_WhatIsThe_0066",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_089,"MMLU_high_school_mathematics_If$f(x)=ax^6-bx^4+x-1$And_0019,MMLU_global_facts_AsOf2017,_0009,MMLU_high_school_mathematics_Let$n$Be_0017,MMLU_miscellaneous_TheAppleImac_0004",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_090,"MMLU_high_school_geography_Ankara,TurkeyAnd_0068,MMLU_high_school_geography_TheFirstStage_0011,MMLU_moral_scenarios_ForWhichOf_0064,MMLU_high_school_mathematics_WhatIsThe_0008",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_091,"MMLU_global_facts_AsOf2015,_0073,MMLU_international_law_WhichOfThe_0092,MMLU_high_school_mathematics_APoint$(x,y)$_0069,MMLU_high_school_mathematics_NineBagsOf_0085",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_092,"MMLU_high_school_mathematics_Factor$36-9x^2$._0044,MMLU_international_law_WhatIsA_0084,MMLU_formal_logic_UseIndirectTruth_0036,MMLU_business_ethics_TheDegreeTo_0027",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_093,"MMLU_high_school_geography_WhichGeographerViewed_0045,MMLU_high_school_geography_WhichTermDescribes_0038,MMLU_high_school_geography_WhichOfThe_0063,MMLU_high_school_geography_WhenACountry_0025",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_094,"MMLU_abstract_algebra_Statement1|_0082,MMLU_formal_logic_SelectTheBest_0023,MMLU_global_facts_WhatIsThe_0006,MMLU_high_school_mathematics_Let$f(x)=\frac{(x-2)^2-9}{3}$.The_0056",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_095,"MMLU_moral_scenarios_ForWhichOf_0005,MMLU_college_physics_WhichOfThe_0006,MMLU_college_physics_BlueLightOf_0045,MMLU_college_physics_ExcitedStatesOf_0005",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_096,"MMLU_miscellaneous_TheLaborForce_0046,MMLU_business_ethics_BetterAccessTo_0025,MMLU_high_school_geography_TheMainFactor_0001,MMLU_high_school_geography_WhichOfThe_0005",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_097,"MMLU_college_physics_AGratingSpectrometer_0051,MMLU_international_law_IsExtra-territorialAbduction_0096,MMLU_formal_logic_WhichOfThe_0051,MMLU_high_school_mathematics_HowManyUnique_0053",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_098,"MMLU_moral_scenarios_ForWhichOf_0080,MMLU_formal_logic_WhichOfThe_0097,MMLU_global_facts_WhichOfThe_0004,MMLU_high_school_geography_WhichLanguageFamily_0067",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_099,"MMLU_moral_scenarios_ForWhichOf_0076,MMLU_high_school_mathematics_Jane'sQuizScores_0014,MMLU_miscellaneous_WhichOfThese_0084,MMLU_abstract_algebra_ASubsetH_0068",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_100,"MMLU_international_law_WhatIsThe_0073,MMLU_college_physics_IfTheSun_0032,MMLU_abstract_algebra_FindTheDegree_0036,MMLU_business_ethics__________,SuchAs_0028",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_101,"MMLU_global_facts_TheGreatestPopulation_0081,MMLU_high_school_geography_EveryCountryWith_0096,MMLU_moral_scenarios_ForWhichOf_0026,MMLU_formal_logic_ConstructAComplete_0021",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_102,"MMLU_international_law_WhatIsThe_0025,MMLU_miscellaneous_AnImportantSource_0001,MMLU_high_school_geography_TheProcessWhereby_0042,MMLU_global_facts_AsOf2017,_0096",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_103,"MMLU_miscellaneous_InWhatCountry_0087,MMLU_global_facts_AsOf2019,_0007,MMLU_global_facts_AsOf2019,_0069,MMLU_miscellaneous_WhatDoesIt_0051",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_104,"MMLU_international_law_WhatIsThe_0046,MMLU_moral_scenarios_ForWhichOf_0060,MMLU_high_school_mathematics_HowManyArithmetic_0010,MMLU_high_school_geography_InWhichZone_0056",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_105,"MMLU_high_school_geography_TransnationalCorporationsDistribute_0033,MMLU_miscellaneous_WhatIsYour_0067,MMLU_miscellaneous_WhichOfThese_0075,MMLU_business_ethics_AlthoughCorporateProfit_0007",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_106,"MMLU_formal_logic_UseTheFollowing_0061,MMLU_high_school_geography_WhichTypeOf_0085,MMLU_moral_scenarios_ForWhichOf_0013,MMLU_international_law_WhatIsThe_0079",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_107,"MMLU_high_school_mathematics_WhatIsThe_0084,MMLU_business_ethics_BusinessesHave______0049,MMLU_international_law_DoIndividuals(physical)_0018,MMLU_miscellaneous_InPreparationFor_0002",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_108,"MMLU_miscellaneous_WhichOfThe_0017,MMLU_formal_logic_ConstructAComplete_0007,MMLU_international_law_WhatIsThe_0014,MMLU_business_ethics_WhatDoesMilton_0008",meta-llama/llama-4-scout
MMLU_ARRANGED_GROUP_109,"MMLU_business_ethics__________AreIndividual_0090,MMLU_moral_scenarios_ForWhichOf_0100,MMLU_high_school_geography_TheDistanceNorth_0100,MMLU_formal_logic_ConstructAComplete_0043",meta-llama/llama-4-scout
