Word,Predictions,Generated Words,Final Score,Count Words,Missed Predictions,Predicted True Count,Success Out of True,Success Out of False
Cat,"{'pet': True, 'dog': False, 'meow': True, 'scratch': True, 'claws': True}","['whiskers', 'purr', 'claws', 'fur', 'meow']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
Cheetah,"{'fast': True, 'mp/h': False, 'lion': False, 'africa': True, 'savannah': True}","['speed', 'africa', 'stripes', 'predator', 'agility']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Chicken,"{'fox': False, 'bird': True, 'swan': False, 'eggs': True}","['cooking', 'nuggets', 'fried', 'grill', 'dinner']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Chihuahua,"{'paris hilton': False, 'dog': True, 'small': True, 'foot horn': False}","['small', 'loyal', 'fierce', 'bigears', 'companion']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Chimpanzee,"{'monkey': True, 'human': False, 'intelligent': True, 'primate': True, 'orangutan': False}","['intelligent', 'agile', 'social', 'mischievous', 'clever']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Chinchilla,"{'small': True, 'mouse': False, 'rat': False, 'america': False}","['fur', 'southamerica', 'small', 'soft', 'cute']",100.00 %,4,75.00 %,1,100.00 %,100.00 %
Coati,"{'tree': False, 'climbing': False, 'america': False}","['mammal', 'south america', 'raccoon', 'tail', 'cactus']",100.00 %,3,100.00 %,0,,100.00 %
Cow,"{'stable': True, 'milk': True, 'udder': True, 'milking': True, 'straw': False}","['milk', 'farm', 'udder', 'moo', 'herd']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
Dog,"{'shepherd': False, 'friend': True, 'pet': True, 'bark': True, 'cat': False}","['faithful', 'tail', 'bark', 'loyal', 'playful']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Dolphin,"{'whale': False, 'sea': True, 'intelligent': True, 'porpoise': False}","['ocean', 'playful', 'intelligent', 'social', 'aquatic']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Elephant,"{' africa': False, ' india': False, ' trunk ': True, ' grey': True, ' huge': True}","['large', 'trunk', 'tusks', 'memory', 'wisdom']",80.00 %,5,80.00 %,3,0.00 %,100.00 %
Emu,"{'bird': True, 'ostrich': False, 'australia': True, 'egg': True, 'flightless': True}","['australia', 'native', 'large', 'flightless', 'omnivorous']",66.67 %,3,66.67 %,4,25.00 %,100.00 %
Ferret,"{'marten': False, 'car': False, 'cable': False, 'llitis': False, 'whiskers': True}","['cute', 'playful', 'mischievous', 'sleek', 'curious']",100.00 %,4,100.00 %,1,0.00 %,100.00 %
Fish,"{'water': True, 'swim': True, 'gills': True, 'whale': False, 'salmon': True}","['ocean', 'swim', 'school', 'fins', 'scales']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Fox,"{'red': False, 'fur': True, 'city': False, 'goose': False}","['cunning', 'sly', 'red', 'hunting', 'swift']",50.00 %,4,75.00 %,1,0.00 %,66.67 %
Frog,"{'croak': True, 'water': True, 'toad': False}","['pond', 'green', 'jump', 'ribbit', 'amphibian']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Giraffe,"{'neck': True, 'long': True, 'elephant': False, 'savannah': True, 'africa': True}","['neck', 'spots', 'tall', 'leafy', 'safari']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Goat,"{'milk': True, 'stable': False, 'mountain': True, 'horns': True}","['mountain', 'horns', 'beard', 'climber', 'herd']",75.00 %,4,50.00 %,3,66.67 %,100.00 %
Gorilla,"{'monkey': True, 'chimpanzee': True, 'gray': True, 'roar': True, 'chest': False}","['primate', 'strength', 'forest', 'agile', 'intelligent']",20.00 %,5,100.00 %,4,0.00 %,100.00 %
Grizzly,"{'brown': True, 'kodiak': False, 'predator': True, 'north america': True}","['bear', 'wild', 'mountain', 'powerful', 'fierce']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Hedgehog,"{'spines': True, 'small': True, 'city': False}","['prickly', 'spiky', 'rolls', 'small', 'cute']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Hippopotamus,"{'hippopotamus': True, 'water': True, 'giant': False, 'rhino': False}","['africa', 'river', 'muddy', 'large', 'furry']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Horse,"{'riding': True, 'saddle': True, 'cow': False, 'trotting race': False}","['rider', 'stable', 'mane', 'hoof', 'galloping']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Hyena,"{'africa': True, 'savannah': True, 'sneaky': True}","['laughing', 'cannibalistic', 'wild', 'africa', 'claws']",33.33 %,3,66.67 %,3,33.33 %,
Jaguar,"{'england': False, 'land rover': False, 'luxury': False, 'sports car': True}","['speed', 'luxury', 'exotic', 'sleek', 'power']",50.00 %,4,75.00 %,1,0.00 %,66.67 %
Jellyfish,"{'transparent': False, 'water': True, 'sea': True, 'nettles': False}","['ocean', 'stinging', 'bioluminescent', 'marine', 'translucent']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Kangaroo,"{'hopping': True, 'boxing': False, 'australia': True, 'pouch': True}","['australia', 'hopping', 'pouch', 'joey', ' marsupial']",100.00 %,4,25.00 %,3,100.00 %,100.00 %
Koala,"{'australia': True, 'eucalyptus': True, 'tree': False}","['australia', 'marsupial', 'eucalyptus', 'umbrella', 'sleeping']",100.00 %,3,33.33 %,2,100.00 %,100.00 %
Leopard,"{'cheetah': False, 'cat': True, 'predator': True}","['spotted', 'wild', 'african', 'agile', 'majestic']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Lion,"{'king': True, 'tiger': False, 'cheetah': False, 'africa': True, 'savannah': True}","['mane', 'savannah', 'roar', 'king', 'jungle']",80.00 %,5,60.00 %,3,66.67 %,100.00 %
Llama,"{'spitting': False, 'south america': True, 'guanaco': True}","['south america', 'fuzzy', 'herder', 'andes', 'soft']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Mandrill,"{'primate': True, 'monkey': False, 'butt': True, 'gorilla': False}","['monkey', 'primate', 'rainforest', 'colorful', 'aggressive']",50.00 %,4,50.00 %,2,50.00 %,50.00 %
Meerkat,"{'burrows': True, 'ground': False, 'dig': True, 'stand': False}","['desert', 'africa', 'savannah', 'social', 'inquisitive']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Mouse,"{'rodent': True, 'rat': False, 'small': True}","['computer', 'pointer', 'click', 'keyboard', 'cursor']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Orangutan,"{'orange': True, 'monkey': True, 'primate': True, 'chimpanzee': False}","['giant', 'tree', 'agile', 'intelligent', 'furry']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Otter,"{'water': True, 'dam': False, 'wood': False}","['river', 'furry', 'playful', 'swimming', 'stream']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Ox,"{'cow': False, 'bull': True, 'ring': False, 'nose': False}","['angus', 'strength', 'farm', 'beef', 'cowboy']",75.00 %,4,100.00 %,1,0.00 %,100.00 %
Panda,"{'black': False, 'white': True, 'clumsy': False, 'china': True, 'bear': True}","['china', 'black', 'white', 'furry', 'cute']",60.00 %,5,40.00 %,3,66.67 %,50.00 %
Parrot,"{'colorful': True, 'red': False, 'bird': True, 'beak': True}","['colorful', 'beak', 'feathered', 'squawk', 'tropical']",75.00 %,4,50.00 %,3,66.67 %,100.00 %
Penguin,"{'south pole': True, 'arctic': False, 'yellow': False, 'black': False, 'white': True}","['cold', 'feathers', 'antarctica', 'waddling', 'fish']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Rabbit,"{'pet': False, 'bunny': True, 'lout': False}","['fluffy', 'hare', 'carrot', 'burrow', 'cute']",75.00 %,4,100.00 %,1,0.00 %,100.00 %
Raccoon,"{'teddy': True, 'grizzly': False, 'garbage can': True}","['masked', 'bandit', 'cute', 'mischief', 'trash']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Reindeer,"{'santa claus': False, 'rudolf': True, 'nose': True, 'red': True, 'deer': True}","['antlers', 'sleigh', 'winter', 'fur', 'santa']",20.00 %,5,100.00 %,4,0.00 %,100.00 %
Seahorse,"{'water': True, 'sea': True, 'small': True, 'saddle': False}","['marine', 'aquatic', 'tail', 'swimming', 'mysterious']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Seal,"{'tricks': False, 'balancing': False, 'water': True, 'sea': True, 'cat': False}","['marine', 'flipper', 'fin', 'wet', 'penguin']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Shark,"{'water': True, 'teeth': True, 'surfer': False, 'tornado': False}","['fierce', 'tooth', 'ocean', 'predator', 'danger']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Sheepdog,"{'police': False, 'friend': False, 'pet': True, 'bark': True, 'cat': False}","['wool', 'herding', 'herbivore', 'farmer', 'ariel']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Snail,"{'slime': True, 'house': False, 'small': True, 'slow': True}","['slow', 'shell', 'garden', 'slime', 'leisurely']",75.00 %,4,50.00 %,3,66.67 %,100.00 %
Spider,"{'web': True, 'fly': False, 'legs': True, 'cellar': False}","['web', 'eight', 'legs', 'climb', 'venom']",100.00 %,4,50.00 %,2,100.00 %,100.00 %
Squirrel,"{'forest': True, 'tree': True, 'nuts': True, 'hibernate': False, 'brown': True}","['nut', 'tree', 'tail', 'furry', 'playful']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Walrus,"{'water': True, 'horse': False, 'sea': True, 'tusks': True}","['tusks', 'arctic', 'blubbery', 'whiskers', 'flipper']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Wasp,"{'bee': False, 'honey': False, 'sting': True, 'black': False, 'yellow': True}","['stinger', 'nest', 'pain', 'yellow', 'danger']",80.00 %,5,80.00 %,2,50.00 %,100.00 %
Wolf,"{'wild': True, 'dog': False, 'howl': True, 'moon': False, 'pack': True}","['fierce', 'lupine', 'wild', 'pack', 'howling']",80.00 %,5,60.00 %,3,66.67 %,100.00 %
Yak,"{'cow': False, 'horns': True, 'asia': True}","['himalayas', 'herder', 'milk', 'fur', 'mountain']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Zebra,"{'strip': True, 'elephant': False, 'giraffe': False, 'black': False, 'white': True}","['stripes', 'savannah', 'africa', 'black', 'wildlife']",40.00 %,5,80.00 %,2,0.00 %,66.67 %
Audi,"{'germany': False, 'ingolstadt': False, 'rings': True, 'volkswagen': False}","['luxury', 'performance', 'design', 'germany', 'quattro']",50.00 %,4,75.00 %,1,0.00 %,66.67 %
Bentley,"{'luxury': True, 'england': False, 'rolls-royce': True}","['luxury', 'cars', 'performance', 'britain', 'luxury cars']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Bugatti,"{'luxury': True, 'sports car': True, 'volkswagen': False, 'france': True}","['luxury', 'speed', 'exclusivity', 'design', 'performance']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Buick,"{'america': True, 'united states': True, 'general motors': True}","['performance', 'luxury', 'comfort', 'classic', 'american']",0.00 %,3,100.00 %,3,0.00 %,
Cadillac,"{'america': True, 'united states': True, 'general motors': True}","['luxury', 'american', 'performance', 'classic', 'exclusivity']",0.00 %,3,100.00 %,3,0.00 %,
Chevrolet,"{'america': False, 'united states': False, 'general motors': True, 'camaro': True, 'transformers': False}","['performance', 'durability', 'american', 'luxury', 'suv']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Chrysler,"{'america': True, 'united states': True, 'dodge': True}","['cars', 'automotive', 'american', 'luxury', 'muscle']",0.00 %,3,100.00 %,3,0.00 %,
Citroën,"{'france': False, 'peugeot': True, 'small cars': True}","['french', 'riviera', 'ds', '2cv', 'hybrid']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Corvette,"{'america': False, 'united states': False, 'sports car': True}","['sports', 'speed', 'luxury', 'performance', 'muscle']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Dacia,"{'romania': False, 'small cars': True, 'cheap': False, 'duster': False}","['romania', 'cars', 'suvs', 'off-road', 'affordable']",50.00 %,4,75.00 %,1,0.00 %,66.67 %
Daewoo,"{'south korea': True, 'small cars': True, 'general motors': False}","['korea', 'motors', 'luxury', 'electronics', 'automotive']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
DAF,"{'trucks': True, 'big rig': False, 'netherlands': False, 'cargo': True}","['dutch', 'aerial', 'ferry', 'truck', 'tractor']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Daihatsu,"{'japan': False, 'toyota': False, 'small cars': True}","['kei', 'car', 'compact', 'japanese', 'affordable']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Dodge,"{'viper': True, 'america': True, 'united states': False, 'general motors': False}","['car', 'charger', 'ram', 'truck', 'performance']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Ferrari,"{'italy': True, 'red': True, 'sports car': True, 'luxury': True, 'michael schumacher': False}","['speed', 'luxury', 'racing', 'italy', 'exotic']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
Ford,"{'america': False, 'united states': False, 'henry': True, 'f-150': True, 'assembly line': False}","['mustang', 'f-150', 'explorer', 'ranger', 'bronco']",80.00 %,5,80.00 %,2,50.00 %,100.00 %
GMC,"{'general motors': True, 'united states': True, 'multicorporate enterprise': True}","['truck', 'suv', 'duramax', 'sierra', 'chevrolet']",0.00 %,3,100.00 %,3,0.00 %,
Honda,"{'japan': False, 'mitsubishi': False, 'civic': True}","['civic', 'accord', 'motorcycle', 'vtec', 'suv']",100.00 %,3,66.67 %,1,100.00 %,100.00 %
Hummer,"{'army': False, 'united states': True, 'america': True}","['suv', 'off-road', 'military', 'luxury', 'hummerh2']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Infiniti,"{'nissan': True, 'japan': True, 'luxury': True}","['luxury', 'performance', 'japanese', 'automotive', 'exotic']",33.33 %,3,66.67 %,3,33.33 %,
Isuzu,"{'japan': False, 'trucks': True, 'big rig': True, 'cargo': True}","['trucks', 'off-road', 'rugged', 'reliable', 'japanese']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Iveco,"{'italy': False, 'trucks': True, 'big rig': False, 'cargo': True}","['trucks', 'construction', 'military', 'tractors', 'heavyduty']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Jeep,"{'chrysler': False, 'army': True, 'america': True, 'united states': True}","['off-road', 'suv', '4x4', 'adventure', 'rugged']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Königsegg,"{'sweden': False, 'luxury': True, 'sports car': True}","['super cars', 'sweden', 'hypercar', 'electric', 'innovation']",0.00 %,3,66.67 %,2,0.00 %,0.00 %
Lamborghini,"{'italy': False, 'sports car': True, 'luxury': True, 'volkswagen': False}","['luxury', 'supercar', 'italian', 'exotic', 'power']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Lancia,"{'italy': True, 'small cars': False, 'fiat': True}","['italy', 'sports', 'racing', 'luxury', 'vintage']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Lincoln,"{'america': True, 'united states': True, 'ford': True, 'luxury': True}","['president', 'honesty', 'abraham', 'unified', 'reconstruction']",0.00 %,4,100.00 %,4,0.00 %,
Maybach,"{'germany': True, 'mercedes': False, 'luxury': True}","['luxury', 'exclusivity', 'glossy', 'performance', 'high-end']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
McLaren,"{'england': False, 'luxury': False, 'sports car': True}","['speed', 'racing', 'luxury', 'performance', 'exclusivity']",25.00 %,4,50.00 %,1,0.00 %,50.00 %
Mercedes-AMG,"{'germany': True, 'luxury': True, 'tuning': True}","['performance', 'luxury', 'speed', 'agility', 'exclusivity']",33.33 %,3,66.67 %,3,33.33 %,
Mercedes-Benz,"{'germany': False, 'daimler': True, 'chrysler': False}","['luxury', 'performance', 'german engineering', 'sleek design', 'premium']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Mini,"{'germany': False, 'england': False, 'bmw': True, 'small': True, 'mr bean': False}","['car', 'toy', 'coat', 'size', 'compact']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Mitsubishi,"{'japan': True, 'lancer': True, 'rally': True}","['cars', 'motors', 'japan', 'outdoors', 'electric']",33.33 %,3,66.67 %,3,33.33 %,
Moskwitsch,"{'russia': True, 'sowjet': True, 'ddr': False}","['russian', 'soviet', 'comrade', 'bolshevik', 'lenin']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Nissan,"{'japan': True, 'skyline': True, 'datsun': False}","['rogue', 'altima', 'gt-r', 'leaf', 'sentra']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Oldsmobile,"{'america': True, 'united states': True, 'general motors': True}","['muscle', 'station wagon', 'cutlass', 'toronado', 'aerotech']",0.00 %,3,100.00 %,3,0.00 %,
Opel,"{'germany': False, 'rüsselsheim': True, 'vauxhall': True}","['germany', 'cars', 'insignia', 'astra', 'zafira']",0.00 %,3,66.67 %,2,0.00 %,0.00 %
Pagani,"{'italy': False, 'sports car': True, 'luxury': True, 'expensive': True}","['luxury', 'supercar', 'italian', 'exotic', 'handcrafted']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Peugeot,"{'france': True, 'bicycles': False, 'motorcycle': False}","['france', 'luxury', 'suzuki', 'crown', 'gsx']",100.00 %,3,66.67 %,1,100.00 %,100.00 %
Piaggio,"{'italy': True, 'motorcycles': False, 'moped': True, 'vespa': True, ""italy's manufacturing hub"": False}","['vespa', 'motorcycle', 'scooter', 'italy', 'design']",75.00 %,4,50.00 %,3,66.67 %,50.00 %
Polaris,"{'america': False, 'united states': False, 'quads': False, 'snow mobile': False}","['star', 'north', 'aurora', 'astronomy', 'constellation']",100.00 %,4,100.00 %,0,,100.00 %
Pontiac,"{'general motors': True, 'united states': True, 'america': False}","['gto', 'firebird', 'muscle', 'performance', 'classic']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Porsche,"{'germany': True, 'stuttgart': True, '911': True, 'volkswagen': False}","['performance', 'luxury', 'germany', 'sports', 'exclusivity']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Renault,"{'france': False, 'small cars': True, 'nissan': False}","['clio', 'megane', 'kangoo', 'twizy', 'formula one']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Rover,"{'england': False, 'tata': False, 'small cars': False, 'bwm': True}","['space', 'dog', 'exploration', 'vehicle', 'adventure']",75.00 %,4,100.00 %,1,0.00 %,100.00 %
Saab,"{'sweden': True, 'scania': True, 'stockholm': False}","['sweden', 'scandinavian', 'car', 'design', 'luxury']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Scania,"{'sweden': True, 'trucks': True, 'big rig': False, 'cargo': True}","['trucks', 'transportation', 'sweden', 'gasoline', 'construction']",75.00 %,4,50.00 %,3,66.67 %,100.00 %
Skoda,"{'tschechien': False, 'volkswagen': True, 'small cars': False}","['symbolic', 'scouting', 'selector', 'sliding', 'shutdown']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Smart,"{'germany': False, 'small': False, 'parking space': False, 'mercedes': True, 'daimler': True}","['innovative', 'intelligent', 'technological', 'analytical', 'resourceful']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Suzuki,"{'japan': True, 'motorbikes': True, 'honda': False}","['jupiter', 'veloce', 'vitara', 'baleno', 'hayabusa']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Tesla,"{'elon musk': True, 'united states': False, 'electric': True, 'sexy': False}","['electric', 'autonomous', 'sustainable', 'innovation', 'luxury']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Toyota,"{'multicorporate enterprise': False, 'japan': True, 'yaris': True, 'avensis': False}","['corolla', 'suv', 'camry', 'racing', 'hybrid']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Trabant,"{'trabbi': False, 'ddr': True, 'veb': True, 'germany': True, 'zwickau': False}","['east', 'germany', 'volkswagen', 'economy', 'retro']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
UAZ,"{'russia': False, 'soviet union': True, 'trucks': True, 'big rig': False, 'cargo': True}","['uaz', 'soviet', 'russia', 'truck', 'military']",20.00 %,5,80.00 %,3,0.00 %,50.00 %
Volvo,"{'sweden': True, 'trucks': True, 'big rig': False, 'ford': False, 'cargo': True}","['safety', 'luxury', 'sweden', 'suv', 'reliability']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Volkswagen,"{'germany': True, 'golf': True, 'passat': True, 'audi': False, 'wolfsburg': True}","['germany', 'beetle', 'audi', 'suv', 'turbo']",20.00 %,5,60.00 %,4,25.00 %,0.00 %
Wartburg,"{'lada': False, 'ddr': True, 'russia': False, 'trabbi': False, 'germany': True}","['castle', 'martin luther', 'reformation', 'germany', 'history']",80.00 %,5,80.00 %,2,50.00 %,100.00 %
Afghanistan,"{'asia': True, 'southern asia': False, 'kabul': True}","['desert', 'war', 'tradition', 'islam', 'mountain']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Albania,"{'europe': True, 'southern europe': False, 'tirana': True}","['mountains', 'beaches', 'history', 'culture', 'tirana']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Algeria,"{'africa': True, 'northern africa': True, 'algiers': True}","['desert', 'berbers', 'casbah', 'oasis', 'hassan ii']",0.00 %,3,100.00 %,3,0.00 %,
Angola,"{'africa': True, 'middle africa': False, 'luanda': True}","['lusophone', 'oil', 'colonial', 'savannah', 'football']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Anguilla,"{'americas': False, 'caribbean': True, 'the valley': False}","['beach', 'island', 'turquoise', 'secluded', 'luxury']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Argentina,"{'americas': True, 'south america': True, 'buenos aires': True}","['tango', 'asado', 'buenos aires', 'football', 'gaucho']",33.33 %,3,66.67 %,3,33.33 %,
Armenia,"{'asia': True, 'western asia': True, 'yerevan': True}","['mountararat', 'yerevan', 'cuisine', 'ancienthistory', 'wine']",33.33 %,3,66.67 %,3,33.33 %,
Aruba,"{'americas': True, 'caribbean': True, 'oranjestad': True}","['beach', 'suncream', 'beachside', 'paradise', 'resort']",0.00 %,3,100.00 %,3,0.00 %,
Australia,"{'oceania': False, 'australia and new zealand': True, 'canberra': True}","['kangaroo', 'surfing', 'beach', 'koala', 'boomerang']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Austria,"{'europe': True, 'western europe': False, 'vienna': True}","['vienna', 'mozart', 'café', 'alps', 'schönbrunn']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Azerbaijan,"{'asia': True, 'western asia': False, 'baku': True}","['oil', 'caspian', 'shirvanshahs', 'baku', 'cuisine']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Bahamas,"{'americas': False, 'caribbean': True, 'nassau': True}","['beach', 'island', 'tropical', 'paradise', 'snorkeling']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Bahrain,"{'asia': True, 'western asia': True, 'manama': True}","['oil', 'islands', 'manama', 'pearl', 'arabian']",33.33 %,3,66.67 %,3,33.33 %,
Bangladesh,"{'asia': True, 'southern asia': False, 'dhaka': True}","['rice', 'cyclone', 'mosque', 'river', 'sari']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Barbados,"{'americas': True, 'caribbean': True, 'bridgetown': True}","['beaches', 'island', 'rum', 'surfing', 'cricket']",0.00 %,3,100.00 %,3,0.00 %,
Belarus,"{'europe': True, 'eastern europe': True, 'minsk': True}","['orthodox', 'minsk', 'nobel', 'lithuania', 'winter']",33.33 %,3,66.67 %,3,33.33 %,
Belgium,"{'europe': True, 'western europe': True, 'brussels': True}","['chocolate', 'beer', 'fries', 'diamonds', 'brussels sprouts']",0.00 %,3,100.00 %,3,0.00 %,
Belize,"{'americas': False, 'central america': True, 'belmopan': False}","['tropical', 'islands', 'crovers and remains of the ancient mayan ruins', 'jaguars', 'shrimp']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Benin,"{'africa': False, 'western africa': True, 'porto-novo': True}","['voodoo', 'congo', 'gold', 'pygmy', 'cultural']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Bermuda,"{'americas': False, 'northern america': False, 'hamilton': True}","['beaches', 'pink-sand', 'golf', 'british', 'colonial']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Bhutan,"{'asia': True, 'southern asia': True, 'thimphu': True}","['paro', 'taktshang', 'gangtey', 'monasteries', 'himalayas']",0.00 %,3,100.00 %,3,0.00 %,
Brazil,"{'americas': False, 'south america': True, 'brasília': True}","['samba', 'beach', 'football', ' carnival', 'amazon']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Bulgaria,"{'europe': True, 'eastern europe': True, 'sofia': True}","['beaches', 'history', 'bulgarian', 'balkans', 'wine']",0.00 %,3,100.00 %,3,0.00 %,
Burundi,"{'africa': True, 'eastern africa': True, 'bujumbura': True}","['conflict', 'dutch', 'lake', 'kigali', 'genocide']",0.00 %,3,100.00 %,3,0.00 %,
Cambodia,"{'asia': True, 'south-eastern asia': True, 'phnom penh': True}","['angkor', 'temples', 'khmer', 'siem reap', 'river']",0.00 %,3,100.00 %,3,0.00 %,
Cameroon,"{'africa': True, 'middle africa': False, 'yaoundé': True}","['mount cameroon', 'rainforest', 'crocodiles', 'french', 'gabonese']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Chad,"{'africa': True, 'middle africa': False, ""n'djamena"": True}","['extra-large', 'unbeatable', 'charming', 'attractive', 'buffalo']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Chile,"{'americas': True, 'south america': True, 'santiago': False}","['succulent', 'spicy', 'mountainous', 'pacific ocean', 'wine']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
China,"{'asia': True, 'eastern asia': False, 'beijing': True, 'hong kong': True}","['panda', 'szechuan', 'great wall', 'diamonds', 'lotus']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
