group_id,llm_ranking,raw_llm_ranking_output,combined_duration,total_individual_duration,measured_ranking,score,model
MMLU_ARRANGED_GROUP_080,"Q3,Q4,Q1,Q2","{""ranking"": [""Q3"", ""Q4"", ""Q1"", ""Q2""]}",1183,2999,"Q4,Q3,Q2,Q1",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_081,"Q1,Q3,Q4,Q2","{""ranking"": [""Q1"", ""Q3"", ""Q4"", ""Q2""]}",3948,2488,"Q2,Q1,Q3,Q4",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_082,"Q2,Q3,Q1,Q4","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q1"", ""Q4""]
}
```",2323,3890,"Q2,Q3,Q4,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_083,"Q3,Q4,Q2,Q1","{
  ""ranking"": [""Q3"", ""Q4"", ""Q2"", ""Q1""]
}",1950,2099,"Q4,Q2,Q1,Q3",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_084,"Q2,Q3,Q1,Q4","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q1"", ""Q4""]
}
```",1830,2756,"Q4,Q1,Q3,Q2",0.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_085,"Q3,Q4,Q2,Q1","{""ranking"": [""Q3"", ""Q4"", ""Q2"", ""Q1""]}",1888,2805,"Q1,Q3,Q4,Q2",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_086,"Q1,Q2,Q4,Q3","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q4"", ""Q3""]
}
```",2037,1836,"Q1,Q4,Q2,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_087,"Q3,Q4,Q1,Q2","{""ranking"": [""Q3"", ""Q4"", ""Q1"", ""Q2""]}",2189,2409,"Q1,Q3,Q2,Q4",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_088,"Q3,Q1,Q2,Q4","{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}",1216,3007,"Q2,Q3,Q4,Q1",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_089,"Q2,Q4,Q1,Q3","{""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]}",5834,3573,"Q4,Q1,Q2,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_090,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",1789,2445,"Q2,Q1,Q3,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_091,"Q1,Q4,Q2,Q3","{""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]}",1589,3128,"Q4,Q1,Q2,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_092,"Q4,Q2,Q1,Q3","```json
{
  ""ranking"": [""Q4"", ""Q2"", ""Q1"", ""Q3""]
}
```",1052,3720,"Q4,Q2,Q3,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_093,"Q2,Q4,Q1,Q3","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]
}
```",2395,1206,"Q4,Q1,Q2,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_094,"Q3,Q1,Q2,Q4","{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}",1923,3101,"Q2,Q1,Q4,Q3",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_095,"Q1,Q4,Q2,Q3","```json
{
  ""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]
}
```",1841,5685,"Q4,Q1,Q2,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_096,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",2296,2241,"Q2,Q1,Q3,Q4",0.5,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_097,"Q3,Q1,Q2,Q4","{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}",2134,3029,"Q1,Q3,Q2,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_098,"Q4,Q3,Q2,Q1","{""ranking"": [""Q4"", ""Q3"", ""Q2"", ""Q1""]}",2110,1602,"Q4,Q1,Q3,Q2",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_099,"Q2,Q4,Q1,Q3","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q1"", ""Q3""]
}
```",721,2991,"Q1,Q2,Q4,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_100,"Q1,Q2,Q4,Q3","{""ranking"": [""Q1"", ""Q2"", ""Q4"", ""Q3""]}",2469,2849,"Q4,Q2,Q3,Q1",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_101,"Q2,Q3,Q4,Q1","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q4"", ""Q1""]
}
```",1471,4526,"Q2,Q3,Q4,Q1",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_102,"Q2,Q4,Q3,Q1","{
  ""ranking"": [""Q2"", ""Q4"", ""Q3"", ""Q1""]
}",1037,2358,"Q2,Q1,Q4,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_103,"Q1,Q4,Q2,Q3","{""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]}",1461,3317,"Q1,Q4,Q2,Q3",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_104,"Q2,Q1,Q3,Q4","{
  ""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]
}",2897,6578,"Q2,Q1,Q3,Q4",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_105,"Q3,Q2,Q1,Q4","```json
{
  ""ranking"": [""Q3"", ""Q2"", ""Q1"", ""Q4""]
}
```",837,1849,"Q3,Q2,Q1,Q4",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_106,"Q2,Q4,Q3,Q1","{""ranking"": [""Q2"", ""Q4"", ""Q3"", ""Q1""]}",1451,3511,"Q2,Q3,Q4,Q1",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_107,"Q2,Q1,Q3,Q4","```json
{
  ""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]
}
```",3179,1726,"Q4,Q2,Q3,Q1",0.3333333333333333,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_108,"Q1,Q4,Q3,Q2","```json
{
  ""ranking"": [""Q1"", ""Q4"", ""Q3"", ""Q2""]
}
```",3273,1868,"Q4,Q3,Q1,Q2",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_109,"Q3,Q1,Q2,Q4","```json
{
  ""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]
}
```",1090,2058,"Q3,Q1,Q2,Q4",1.0,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_110,"Q2,Q4,Q3,Q1","```json
{
  ""ranking"": [""Q2"", ""Q4"", ""Q3"", ""Q1""]
}
```",1586,2216,"Q2,Q4,Q1,Q3",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_111,"Q3,Q1,Q2,Q4","{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}",968,2793,"Q1,Q3,Q2,Q4",0.8333333333333334,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_112,"Q1,Q2,Q3,Q4","{""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]}",993,2876,"Q2,Q1,Q4,Q3",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_113,"Q1,Q2,Q3,Q4","```json
{
  ""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]
}
```",675,2027,"Q1,Q3,Q4,Q2",0.6666666666666666,deepseek/deepseek-r1
MMLU_ARRANGED_GROUP_114,"Q2,Q3,Q4,Q1","```json
{
  ""ranking"": [""Q2"", ""Q3"", ""Q4"", ""Q1""]
}
```",695,2325,"Q2,Q4,Q3,Q1",0.8333333333333334,deepseek/deepseek-r1
